Observation type,Sum,HOLC Polygon
ebird,42,NY_Bronx_C5_C_6138_Aves_all_observations
iNaturalist,2,NY_Bronx_C5_C_6138_Aves_all_observations
other,0,NY_Bronx_C5_C_6138_Aves_all_observations
other,0,NY_Bronx_C6_C_6139_Aves_all_observations
iNaturalist,0,NY_Bronx_C6_C_6139_Aves_all_observations
ebird,0,NY_Bronx_C6_C_6139_Aves_all_observations
ebird,1,NY_Bronx_C7_C_6140_Aves_all_observations
iNaturalist,2,NY_Bronx_C7_C_6140_Aves_all_observations
other,0,NY_Bronx_C7_C_6140_Aves_all_observations
ebird,7,NY_Bronx_C8_C_6141_Aves_all_observations
other,0,NY_Bronx_C8_C_6141_Aves_all_observations
iNaturalist,0,NY_Bronx_C8_C_6141_Aves_all_observations
ebird,52,NY_Bronx_C9_C_6142_Aves_all_observations
iNaturalist,11,NY_Bronx_C9_C_6142_Aves_all_observations
other,0,NY_Bronx_C9_C_6142_Aves_all_observations
ebird,3,NY_Bronx_D1_D_6143_Aves_all_observations
iNaturalist,2,NY_Bronx_D1_D_6143_Aves_all_observations
other,0,NY_Bronx_D1_D_6143_Aves_all_observations
ebird,38,NY_Bronx_D2_D_6144_Aves_all_observations
iNaturalist,3,NY_Bronx_D2_D_6144_Aves_all_observations
other,0,NY_Bronx_D2_D_6144_Aves_all_observations
ebird,35,NY_Bronx_D3_D_6145_Aves_all_observations
iNaturalist,2,NY_Bronx_D3_D_6145_Aves_all_observations
other,0,NY_Bronx_D3_D_6145_Aves_all_observations
ebird,23,NY_Bronx_D4_D_6146_Aves_all_observations
iNaturalist,1,NY_Bronx_D4_D_6146_Aves_all_observations
other,0,NY_Bronx_D4_D_6146_Aves_all_observations
ebird,280,NY_Bronx_D5_D_6147_Aves_all_observations
iNaturalist,2,NY_Bronx_D5_D_6147_Aves_all_observations
other,0,NY_Bronx_D5_D_6147_Aves_all_observations
ebird,275,NY_Bronx_D6_D_6148_Aves_all_observations
iNaturalist,8,NY_Bronx_D6_D_6148_Aves_all_observations
other,0,NY_Bronx_D6_D_6148_Aves_all_observations
ebird,2815,NY_Bronx_D7_D_6149_Aves_all_observations
iNaturalist,105,NY_Bronx_D7_D_6149_Aves_all_observations
other,0,NY_Bronx_D7_D_6149_Aves_all_observations
ebird,10,NY_Bronx_E1_E_6150_Aves_all_observations
iNaturalist,2,NY_Bronx_E1_E_6150_Aves_all_observations
other,0,NY_Bronx_E1_E_6150_Aves_all_observations
ebird,7474,NY_Brooklyn_A1_A_6151_Aves_all_observations
iNaturalist,24,NY_Brooklyn_A1_A_6151_Aves_all_observations
other,1,NY_Brooklyn_A1_A_6151_Aves_all_observations
ebird,1015,NY_Brooklyn_B1_B_6152_Aves_all_observations
iNaturalist,20,NY_Brooklyn_B1_B_6152_Aves_all_observations
other,12,NY_Brooklyn_B1_B_6152_Aves_all_observations
ebird,65,NY_Brooklyn_B10_B_6153_Aves_all_observations
iNaturalist,5,NY_Brooklyn_B10_B_6153_Aves_all_observations
other,0,NY_Brooklyn_B10_B_6153_Aves_all_observations
ebird,70,NY_Brooklyn_B11_B_6154_Aves_all_observations
other,0,NY_Brooklyn_B11_B_6154_Aves_all_observations
iNaturalist,0,NY_Brooklyn_B11_B_6154_Aves_all_observations
ebird,2,NY_Brooklyn_B12_B_6155_Aves_all_observations
iNaturalist,1,NY_Brooklyn_B12_B_6155_Aves_all_observations
other,0,NY_Brooklyn_B12_B_6155_Aves_all_observations
ebird,430,NY_Brooklyn_B13_B_6156_Aves_all_observations
iNaturalist,5,NY_Brooklyn_B13_B_6156_Aves_all_observations
other,0,NY_Brooklyn_B13_B_6156_Aves_all_observations
ebird,29,NY_Brooklyn_B14_B_6157_Aves_all_observations
iNaturalist,6,NY_Brooklyn_B14_B_6157_Aves_all_observations
other,0,NY_Brooklyn_B14_B_6157_Aves_all_observations
ebird,66,NY_Brooklyn_B15_B_6158_Aves_all_observations
iNaturalist,1,NY_Brooklyn_B15_B_6158_Aves_all_observations
other,0,NY_Brooklyn_B15_B_6158_Aves_all_observations
ebird,203,NY_Brooklyn_B16_B_6159_Aves_all_observations
iNaturalist,44,NY_Brooklyn_B16_B_6159_Aves_all_observations
other,0,NY_Brooklyn_B16_B_6159_Aves_all_observations
ebird,9,NY_Brooklyn_B17_B_6160_Aves_all_observations
iNaturalist,4,NY_Brooklyn_B17_B_6160_Aves_all_observations
other,0,NY_Brooklyn_B17_B_6160_Aves_all_observations
ebird,8,NY_Brooklyn_B2_B_6161_Aves_all_observations
iNaturalist,1,NY_Brooklyn_B2_B_6161_Aves_all_observations
other,0,NY_Brooklyn_B2_B_6161_Aves_all_observations
ebird,1997,NY_Brooklyn_B3_B_6162_Aves_all_observations
iNaturalist,40,NY_Brooklyn_B3_B_6162_Aves_all_observations
other,4,NY_Brooklyn_B3_B_6162_Aves_all_observations
ebird,333,NY_Brooklyn_B4_B_6163_Aves_all_observations
iNaturalist,8,NY_Brooklyn_B4_B_6163_Aves_all_observations
other,0,NY_Brooklyn_B4_B_6163_Aves_all_observations
ebird,933,NY_Brooklyn_B5_B_6164_Aves_all_observations
iNaturalist,33,NY_Brooklyn_B5_B_6164_Aves_all_observations
other,2,NY_Brooklyn_B5_B_6164_Aves_all_observations
ebird,313,NY_Brooklyn_B6_B_6165_Aves_all_observations
iNaturalist,6,NY_Brooklyn_B6_B_6165_Aves_all_observations
other,0,NY_Brooklyn_B6_B_6165_Aves_all_observations
ebird,7071,NY_Brooklyn_B7_B_6166_Aves_all_observations
iNaturalist,196,NY_Brooklyn_B7_B_6166_Aves_all_observations
other,0,NY_Brooklyn_B7_B_6166_Aves_all_observations
ebird,618,NY_Brooklyn_B8_B_6167_Aves_all_observations
iNaturalist,14,NY_Brooklyn_B8_B_6167_Aves_all_observations
other,0,NY_Brooklyn_B8_B_6167_Aves_all_observations
ebird,839,NY_Brooklyn_B9_B_6168_Aves_all_observations
iNaturalist,66,NY_Brooklyn_B9_B_6168_Aves_all_observations
other,0,NY_Brooklyn_B9_B_6168_Aves_all_observations
ebird,981,NY_Brooklyn_C1_C_6169_Aves_all_observations
iNaturalist,8,NY_Brooklyn_C1_C_6169_Aves_all_observations
other,0,NY_Brooklyn_C1_C_6169_Aves_all_observations
ebird,1348,NY_Brooklyn_C10_C_6170_Aves_all_observations
iNaturalist,107,NY_Brooklyn_C10_C_6170_Aves_all_observations
other,0,NY_Brooklyn_C10_C_6170_Aves_all_observations
ebird,28,NY_Brooklyn_C11_C_6171_Aves_all_observations
iNaturalist,6,NY_Brooklyn_C11_C_6171_Aves_all_observations
other,0,NY_Brooklyn_C11_C_6171_Aves_all_observations
ebird,2433,NY_Brooklyn_C12_C_6172_Aves_all_observations
iNaturalist,122,NY_Brooklyn_C12_C_6172_Aves_all_observations
other,0,NY_Brooklyn_C12_C_6172_Aves_all_observations
ebird,122,NY_Brooklyn_C13_C_6173_Aves_all_observations
iNaturalist,3,NY_Brooklyn_C13_C_6173_Aves_all_observations
other,0,NY_Brooklyn_C13_C_6173_Aves_all_observations
ebird,133,NY_Brooklyn_C14_C_6174_Aves_all_observations
iNaturalist,2,NY_Brooklyn_C14_C_6174_Aves_all_observations
other,0,NY_Brooklyn_C14_C_6174_Aves_all_observations
ebird,8,NY_Brooklyn_C15_C_6175_Aves_all_observations
iNaturalist,3,NY_Brooklyn_C15_C_6175_Aves_all_observations
other,0,NY_Brooklyn_C15_C_6175_Aves_all_observations
ebird,53,NY_Brooklyn_C16_C_6176_Aves_all_observations
other,0,NY_Brooklyn_C16_C_6176_Aves_all_observations
iNaturalist,0,NY_Brooklyn_C16_C_6176_Aves_all_observations
ebird,1013,NY_Brooklyn_C17_C_6177_Aves_all_observations
iNaturalist,5,NY_Brooklyn_C17_C_6177_Aves_all_observations
other,0,NY_Brooklyn_C17_C_6177_Aves_all_observations
ebird,667,NY_Brooklyn_C18_C_6178_Aves_all_observations
other,0,NY_Brooklyn_C18_C_6178_Aves_all_observations
iNaturalist,0,NY_Brooklyn_C18_C_6178_Aves_all_observations
ebird,44,NY_Brooklyn_C19_C_6179_Aves_all_observations
iNaturalist,9,NY_Brooklyn_C19_C_6179_Aves_all_observations
other,0,NY_Brooklyn_C19_C_6179_Aves_all_observations
ebird,5,NY_Brooklyn_C2_C_6180_Aves_all_observations
other,0,NY_Brooklyn_C2_C_6180_Aves_all_observations
iNaturalist,0,NY_Brooklyn_C2_C_6180_Aves_all_observations
ebird,181,NY_Brooklyn_C20_C_6181_Aves_all_observations
iNaturalist,1,NY_Brooklyn_C20_C_6181_Aves_all_observations
other,0,NY_Brooklyn_C20_C_6181_Aves_all_observations
ebird,100,NY_Brooklyn_C21_C_6182_Aves_all_observations
iNaturalist,8,NY_Brooklyn_C21_C_6182_Aves_all_observations
other,1,NY_Brooklyn_C21_C_6182_Aves_all_observations
ebird,133,NY_Brooklyn_C22_C_6183_Aves_all_observations
iNaturalist,54,NY_Brooklyn_C22_C_6183_Aves_all_observations
other,0,NY_Brooklyn_C22_C_6183_Aves_all_observations
ebird,440,NY_Brooklyn_C23_C_6184_Aves_all_observations
iNaturalist,1,NY_Brooklyn_C23_C_6184_Aves_all_observations
other,0,NY_Brooklyn_C23_C_6184_Aves_all_observations
ebird,69,NY_Brooklyn_C24_C_6185_Aves_all_observations
iNaturalist,1,NY_Brooklyn_C24_C_6185_Aves_all_observations
other,0,NY_Brooklyn_C24_C_6185_Aves_all_observations
ebird,1861,NY_Brooklyn_C25_C_6186_Aves_all_observations
iNaturalist,36,NY_Brooklyn_C25_C_6186_Aves_all_observations
other,0,NY_Brooklyn_C25_C_6186_Aves_all_observations
ebird,609,NY_Brooklyn_C3_C_6187_Aves_all_observations
iNaturalist,21,NY_Brooklyn_C3_C_6187_Aves_all_observations
other,0,NY_Brooklyn_C3_C_6187_Aves_all_observations
ebird,469,NY_Brooklyn_C4_C_6188_Aves_all_observations
iNaturalist,13,NY_Brooklyn_C4_C_6188_Aves_all_observations
other,0,NY_Brooklyn_C4_C_6188_Aves_all_observations
ebird,4113,NY_Brooklyn_C5_C_6189_Aves_all_observations
iNaturalist,14,NY_Brooklyn_C5_C_6189_Aves_all_observations
other,1,NY_Brooklyn_C5_C_6189_Aves_all_observations
ebird,484,NY_Brooklyn_C6_C_6190_Aves_all_observations
iNaturalist,38,NY_Brooklyn_C6_C_6190_Aves_all_observations
other,0,NY_Brooklyn_C6_C_6190_Aves_all_observations
ebird,9,NY_Brooklyn_C7_C_6191_Aves_all_observations
iNaturalist,3,NY_Brooklyn_C7_C_6191_Aves_all_observations
other,1,NY_Brooklyn_C7_C_6191_Aves_all_observations
ebird,83,NY_Brooklyn_C8_C_6192_Aves_all_observations
iNaturalist,2,NY_Brooklyn_C8_C_6192_Aves_all_observations
other,1,NY_Brooklyn_C8_C_6192_Aves_all_observations
ebird,34,NY_Brooklyn_C9_C_6193_Aves_all_observations
iNaturalist,11,NY_Brooklyn_C9_C_6193_Aves_all_observations
other,0,NY_Brooklyn_C9_C_6193_Aves_all_observations
ebird,330,NY_Brooklyn_D1_D_6194_Aves_all_observations
iNaturalist,6,NY_Brooklyn_D1_D_6194_Aves_all_observations
other,0,NY_Brooklyn_D1_D_6194_Aves_all_observations
ebird,92,NY_Brooklyn_D10_D_6195_Aves_all_observations
iNaturalist,3,NY_Brooklyn_D10_D_6195_Aves_all_observations
other,0,NY_Brooklyn_D10_D_6195_Aves_all_observations
ebird,23,NY_Brooklyn_D11_D_6196_Aves_all_observations
iNaturalist,7,NY_Brooklyn_D11_D_6196_Aves_all_observations
other,0,NY_Brooklyn_D11_D_6196_Aves_all_observations
ebird,23,NY_Brooklyn_D12_D_6197_Aves_all_observations
other,0,NY_Brooklyn_D12_D_6197_Aves_all_observations
iNaturalist,0,NY_Brooklyn_D12_D_6197_Aves_all_observations
ebird,20,NY_Brooklyn_D13_D_6198_Aves_all_observations
iNaturalist,3,NY_Brooklyn_D13_D_6198_Aves_all_observations
other,0,NY_Brooklyn_D13_D_6198_Aves_all_observations
ebird,11,NY_Brooklyn_D14_D_6199_Aves_all_observations
iNaturalist,2,NY_Brooklyn_D14_D_6199_Aves_all_observations
other,0,NY_Brooklyn_D14_D_6199_Aves_all_observations
ebird,2,NY_Brooklyn_D15_D_6200_Aves_all_observations
other,1,NY_Brooklyn_D15_D_6200_Aves_all_observations
iNaturalist,0,NY_Brooklyn_D15_D_6200_Aves_all_observations
ebird,2,NY_Brooklyn_D16_D_6201_Aves_all_observations
iNaturalist,3,NY_Brooklyn_D16_D_6201_Aves_all_observations
other,0,NY_Brooklyn_D16_D_6201_Aves_all_observations
ebird,80,NY_Brooklyn_D17_D_6202_Aves_all_observations
iNaturalist,7,NY_Brooklyn_D17_D_6202_Aves_all_observations
other,0,NY_Brooklyn_D17_D_6202_Aves_all_observations
ebird,3019,NY_Brooklyn_D18_D_6203_Aves_all_observations
iNaturalist,3,NY_Brooklyn_D18_D_6203_Aves_all_observations
other,0,NY_Brooklyn_D18_D_6203_Aves_all_observations
ebird,31,NY_Brooklyn_D19_D_6204_Aves_all_observations
iNaturalist,7,NY_Brooklyn_D19_D_6204_Aves_all_observations
other,0,NY_Brooklyn_D19_D_6204_Aves_all_observations
ebird,756,NY_Brooklyn_D2_D_6205_Aves_all_observations
iNaturalist,62,NY_Brooklyn_D2_D_6205_Aves_all_observations
other,5,NY_Brooklyn_D2_D_6205_Aves_all_observations
ebird,854,NY_Brooklyn_D20_D_6206_Aves_all_observations
iNaturalist,4,NY_Brooklyn_D20_D_6206_Aves_all_observations
other,0,NY_Brooklyn_D20_D_6206_Aves_all_observations
ebird,88,NY_Brooklyn_D21_D_6207_Aves_all_observations
iNaturalist,2,NY_Brooklyn_D21_D_6207_Aves_all_observations
other,0,NY_Brooklyn_D21_D_6207_Aves_all_observations
ebird,15,NY_Brooklyn_D22_D_6208_Aves_all_observations
iNaturalist,1,NY_Brooklyn_D22_D_6208_Aves_all_observations
other,0,NY_Brooklyn_D22_D_6208_Aves_all_observations
ebird,240,NY_Brooklyn_D23_D_6209_Aves_all_observations
iNaturalist,4,NY_Brooklyn_D23_D_6209_Aves_all_observations
other,12,NY_Brooklyn_D23_D_6209_Aves_all_observations
ebird,4,NY_Brooklyn_D23_D_6210_Aves_all_observations
iNaturalist,1,NY_Brooklyn_D23_D_6210_Aves_all_observations
other,0,NY_Brooklyn_D23_D_6210_Aves_all_observations
ebird,1038,NY_Brooklyn_D3_D_6211_Aves_all_observations
iNaturalist,57,NY_Brooklyn_D3_D_6211_Aves_all_observations
other,9,NY_Brooklyn_D3_D_6211_Aves_all_observations
ebird,175,NY_Brooklyn_D4_D_6212_Aves_all_observations
iNaturalist,9,NY_Brooklyn_D4_D_6212_Aves_all_observations
other,0,NY_Brooklyn_D4_D_6212_Aves_all_observations
ebird,1189,NY_Brooklyn_D5_D_6213_Aves_all_observations
iNaturalist,6,NY_Brooklyn_D5_D_6213_Aves_all_observations
other,1,NY_Brooklyn_D5_D_6213_Aves_all_observations
ebird,4295,NY_Brooklyn_D6_D_6214_Aves_all_observations
iNaturalist,47,NY_Brooklyn_D6_D_6214_Aves_all_observations
other,1,NY_Brooklyn_D6_D_6214_Aves_all_observations
ebird,2343,NY_Brooklyn_D7_D_6215_Aves_all_observations
iNaturalist,11,NY_Brooklyn_D7_D_6215_Aves_all_observations
other,0,NY_Brooklyn_D7_D_6215_Aves_all_observations
ebird,7395,NY_Brooklyn_D8_D_6216_Aves_all_observations
iNaturalist,84,NY_Brooklyn_D8_D_6216_Aves_all_observations
other,1,NY_Brooklyn_D8_D_6216_Aves_all_observations
ebird,6088,NY_Brooklyn_D9_D_6217_Aves_all_observations
iNaturalist,141,NY_Brooklyn_D9_D_6217_Aves_all_observations
other,1,NY_Brooklyn_D9_D_6217_Aves_all_observations
ebird,604,NY_Buffalo_A1_A_6218_Aves_all_observations
iNaturalist,7,NY_Buffalo_A1_A_6218_Aves_all_observations
other,0,NY_Buffalo_A1_A_6218_Aves_all_observations
ebird,732,NY_Buffalo_A2_A_6219_Aves_all_observations
iNaturalist,1,NY_Buffalo_A2_A_6219_Aves_all_observations
other,0,NY_Buffalo_A2_A_6219_Aves_all_observations
ebird,1043,NY_Buffalo_A3_A_6220_Aves_all_observations
other,0,NY_Buffalo_A3_A_6220_Aves_all_observations
iNaturalist,0,NY_Buffalo_A3_A_6220_Aves_all_observations
ebird,395,NY_Buffalo_A5_A_6222_Aves_all_observations
iNaturalist,1,NY_Buffalo_A5_A_6222_Aves_all_observations
other,0,NY_Buffalo_A5_A_6222_Aves_all_observations
ebird,345,NY_Buffalo_A6_A_6223_Aves_all_observations
iNaturalist,1,NY_Buffalo_A6_A_6223_Aves_all_observations
other,0,NY_Buffalo_A6_A_6223_Aves_all_observations
ebird,95,NY_Buffalo_A6_A_6224_Aves_all_observations
other,0,NY_Buffalo_A6_A_6224_Aves_all_observations
iNaturalist,0,NY_Buffalo_A6_A_6224_Aves_all_observations
ebird,362,NY_Buffalo_A7_A_6225_Aves_all_observations
other,0,NY_Buffalo_A7_A_6225_Aves_all_observations
iNaturalist,0,NY_Buffalo_A7_A_6225_Aves_all_observations
ebird,199,NY_Buffalo_B1_B_6226_Aves_all_observations
iNaturalist,1,NY_Buffalo_B1_B_6226_Aves_all_observations
other,0,NY_Buffalo_B1_B_6226_Aves_all_observations
ebird,35,NY_Buffalo_B1_B_6227_Aves_all_observations
iNaturalist,1,NY_Buffalo_B1_B_6227_Aves_all_observations
other,0,NY_Buffalo_B1_B_6227_Aves_all_observations
ebird,8,NY_Buffalo_B10_B_6228_Aves_all_observations
other,0,NY_Buffalo_B10_B_6228_Aves_all_observations
iNaturalist,0,NY_Buffalo_B10_B_6228_Aves_all_observations
ebird,86,NY_Buffalo_B10_B_6229_Aves_all_observations
iNaturalist,1,NY_Buffalo_B10_B_6229_Aves_all_observations
other,0,NY_Buffalo_B10_B_6229_Aves_all_observations
ebird,285,NY_Buffalo_B10_B_6230_Aves_all_observations
other,0,NY_Buffalo_B10_B_6230_Aves_all_observations
iNaturalist,0,NY_Buffalo_B10_B_6230_Aves_all_observations
ebird,1091,NY_Buffalo_B11_B_6231_Aves_all_observations
iNaturalist,1,NY_Buffalo_B11_B_6231_Aves_all_observations
other,0,NY_Buffalo_B11_B_6231_Aves_all_observations
ebird,321,NY_Buffalo_B13_B_6233_Aves_all_observations
iNaturalist,2,NY_Buffalo_B13_B_6233_Aves_all_observations
other,0,NY_Buffalo_B13_B_6233_Aves_all_observations
ebird,17,NY_Buffalo_B13_B_6234_Aves_all_observations
iNaturalist,4,NY_Buffalo_B13_B_6234_Aves_all_observations
other,0,NY_Buffalo_B13_B_6234_Aves_all_observations
ebird,490,NY_Buffalo_B13_B_6235_Aves_all_observations
iNaturalist,3,NY_Buffalo_B13_B_6235_Aves_all_observations
other,0,NY_Buffalo_B13_B_6235_Aves_all_observations
ebird,119,NY_Buffalo_B2_B_6236_Aves_all_observations
other,0,NY_Buffalo_B2_B_6236_Aves_all_observations
iNaturalist,0,NY_Buffalo_B2_B_6236_Aves_all_observations
ebird,602,NY_Buffalo_B3_B_6237_Aves_all_observations
iNaturalist,1,NY_Buffalo_B3_B_6237_Aves_all_observations
other,1,NY_Buffalo_B3_B_6237_Aves_all_observations
ebird,26,NY_Buffalo_B4_B_6238_Aves_all_observations
iNaturalist,1,NY_Buffalo_B4_B_6238_Aves_all_observations
other,0,NY_Buffalo_B4_B_6238_Aves_all_observations
ebird,217,NY_Buffalo_B5_B_6239_Aves_all_observations
other,0,NY_Buffalo_B5_B_6239_Aves_all_observations
iNaturalist,0,NY_Buffalo_B5_B_6239_Aves_all_observations
ebird,1,NY_Buffalo_B6_B_6240_Aves_all_observations
iNaturalist,5,NY_Buffalo_B6_B_6240_Aves_all_observations
other,0,NY_Buffalo_B6_B_6240_Aves_all_observations
ebird,1326,NY_Buffalo_B7_B_6241_Aves_all_observations
iNaturalist,25,NY_Buffalo_B7_B_6241_Aves_all_observations
other,0,NY_Buffalo_B7_B_6241_Aves_all_observations
ebird,288,NY_Buffalo_B8_B_6242_Aves_all_observations
other,0,NY_Buffalo_B8_B_6242_Aves_all_observations
iNaturalist,0,NY_Buffalo_B8_B_6242_Aves_all_observations
ebird,1043,NY_Buffalo_B8_B_6243_Aves_all_observations
iNaturalist,6,NY_Buffalo_B8_B_6243_Aves_all_observations
other,0,NY_Buffalo_B8_B_6243_Aves_all_observations
ebird,11,NY_Buffalo_B9_B_6244_Aves_all_observations
other,0,NY_Buffalo_B9_B_6244_Aves_all_observations
iNaturalist,0,NY_Buffalo_B9_B_6244_Aves_all_observations
ebird,1301,NY_Buffalo_C1_C_6245_Aves_all_observations
iNaturalist,6,NY_Buffalo_C1_C_6245_Aves_all_observations
other,0,NY_Buffalo_C1_C_6245_Aves_all_observations
ebird,195,NY_Buffalo_C2_C_6246_Aves_all_observations
other,0,NY_Buffalo_C2_C_6246_Aves_all_observations
iNaturalist,0,NY_Buffalo_C2_C_6246_Aves_all_observations
ebird,90,NY_Buffalo_C3_C_6247_Aves_all_observations
other,0,NY_Buffalo_C3_C_6247_Aves_all_observations
iNaturalist,0,NY_Buffalo_C3_C_6247_Aves_all_observations
ebird,9008,NY_Buffalo_C3_C_6248_Aves_all_observations
iNaturalist,4,NY_Buffalo_C3_C_6248_Aves_all_observations
other,0,NY_Buffalo_C3_C_6248_Aves_all_observations
ebird,5,NY_Buffalo_C4_C_6250_Aves_all_observations
other,0,NY_Buffalo_C4_C_6250_Aves_all_observations
iNaturalist,0,NY_Buffalo_C4_C_6250_Aves_all_observations
ebird,221,NY_Buffalo_C4_C_6251_Aves_all_observations
iNaturalist,2,NY_Buffalo_C4_C_6251_Aves_all_observations
other,0,NY_Buffalo_C4_C_6251_Aves_all_observations
ebird,11,NY_Buffalo_C4_C_6252_Aves_all_observations
other,0,NY_Buffalo_C4_C_6252_Aves_all_observations
iNaturalist,0,NY_Buffalo_C4_C_6252_Aves_all_observations
ebird,7,NY_Buffalo_C4_C_6254_Aves_all_observations
other,0,NY_Buffalo_C4_C_6254_Aves_all_observations
iNaturalist,0,NY_Buffalo_C4_C_6254_Aves_all_observations
ebird,199,NY_Buffalo_C4_C_6255_Aves_all_observations
iNaturalist,3,NY_Buffalo_C4_C_6255_Aves_all_observations
other,0,NY_Buffalo_C4_C_6255_Aves_all_observations
ebird,63,NY_Buffalo_C5_C_6256_Aves_all_observations
iNaturalist,1,NY_Buffalo_C5_C_6256_Aves_all_observations
other,0,NY_Buffalo_C5_C_6256_Aves_all_observations
iNaturalist,1,NY_Buffalo_C5_C_6257_Aves_all_observations
other,0,NY_Buffalo_C5_C_6257_Aves_all_observations
ebird,0,NY_Buffalo_C5_C_6257_Aves_all_observations
ebird,115,NY_Buffalo_C5_C_6258_Aves_all_observations
other,0,NY_Buffalo_C5_C_6258_Aves_all_observations
iNaturalist,0,NY_Buffalo_C5_C_6258_Aves_all_observations
ebird,1675,NY_Buffalo_C6_C_6259_Aves_all_observations
iNaturalist,2,NY_Buffalo_C6_C_6259_Aves_all_observations
other,0,NY_Buffalo_C6_C_6259_Aves_all_observations
ebird,1,NY_Buffalo_C6_C_6260_Aves_all_observations
iNaturalist,1,NY_Buffalo_C6_C_6260_Aves_all_observations
other,0,NY_Buffalo_C6_C_6260_Aves_all_observations
ebird,34,NY_Buffalo_C7_C_6261_Aves_all_observations
iNaturalist,4,NY_Buffalo_C7_C_6261_Aves_all_observations
other,0,NY_Buffalo_C7_C_6261_Aves_all_observations
other,0,NY_Buffalo_C8_C_6262_Aves_all_observations
iNaturalist,0,NY_Buffalo_C8_C_6262_Aves_all_observations
ebird,0,NY_Buffalo_C8_C_6262_Aves_all_observations
ebird,1,NY_Buffalo_D1_D_6263_Aves_all_observations
iNaturalist,2,NY_Buffalo_D1_D_6263_Aves_all_observations
other,0,NY_Buffalo_D1_D_6263_Aves_all_observations
ebird,39,NY_Buffalo_D2_D_6264_Aves_all_observations
other,0,NY_Buffalo_D2_D_6264_Aves_all_observations
iNaturalist,0,NY_Buffalo_D2_D_6264_Aves_all_observations
ebird,32,NY_Buffalo_D3_D_6265_Aves_all_observations
other,0,NY_Buffalo_D3_D_6265_Aves_all_observations
iNaturalist,0,NY_Buffalo_D3_D_6265_Aves_all_observations
ebird,17,NY_Buffalo_D3_D_6266_Aves_all_observations
other,0,NY_Buffalo_D3_D_6266_Aves_all_observations
iNaturalist,0,NY_Buffalo_D3_D_6266_Aves_all_observations
ebird,84,NY_Buffalo_D4_D_6270_Aves_all_observations
iNaturalist,1,NY_Buffalo_D4_D_6270_Aves_all_observations
other,0,NY_Buffalo_D4_D_6270_Aves_all_observations
ebird,89,NY_Elmira_A1_A_6272_Aves_all_observations
other,0,NY_Elmira_A1_A_6272_Aves_all_observations
iNaturalist,0,NY_Elmira_A1_A_6272_Aves_all_observations
ebird,53,NY_Elmira_B1_B_6273_Aves_all_observations
other,0,NY_Elmira_B1_B_6273_Aves_all_observations
iNaturalist,0,NY_Elmira_B1_B_6273_Aves_all_observations
ebird,75,NY_Elmira_B2_B_6274_Aves_all_observations
other,0,NY_Elmira_B2_B_6274_Aves_all_observations
iNaturalist,0,NY_Elmira_B2_B_6274_Aves_all_observations
ebird,4386,NY_Elmira_B3_B_6275_Aves_all_observations
other,1,NY_Elmira_B3_B_6275_Aves_all_observations
iNaturalist,0,NY_Elmira_B3_B_6275_Aves_all_observations
ebird,287,NY_Elmira_B4_B_6276_Aves_all_observations
iNaturalist,1,NY_Elmira_B4_B_6276_Aves_all_observations
other,0,NY_Elmira_B4_B_6276_Aves_all_observations
ebird,20,NY_Elmira_B5_B_6277_Aves_all_observations
other,0,NY_Elmira_B5_B_6277_Aves_all_observations
iNaturalist,0,NY_Elmira_B5_B_6277_Aves_all_observations
ebird,66,NY_Elmira_C1_C_6278_Aves_all_observations
iNaturalist,2,NY_Elmira_C1_C_6278_Aves_all_observations
other,0,NY_Elmira_C1_C_6278_Aves_all_observations
ebird,3,NY_Elmira_C10_C_6279_Aves_all_observations
other,0,NY_Elmira_C10_C_6279_Aves_all_observations
iNaturalist,0,NY_Elmira_C10_C_6279_Aves_all_observations
ebird,4,NY_Elmira_C2_C_6280_Aves_all_observations
other,0,NY_Elmira_C2_C_6280_Aves_all_observations
iNaturalist,0,NY_Elmira_C2_C_6280_Aves_all_observations
ebird,231,NY_Elmira_C3_C_6281_Aves_all_observations
iNaturalist,1,NY_Elmira_C3_C_6281_Aves_all_observations
other,0,NY_Elmira_C3_C_6281_Aves_all_observations
ebird,21,NY_Elmira_C4_C_6282_Aves_all_observations
other,0,NY_Elmira_C4_C_6282_Aves_all_observations
iNaturalist,0,NY_Elmira_C4_C_6282_Aves_all_observations
ebird,319,NY_Elmira_C5_C_6283_Aves_all_observations
other,0,NY_Elmira_C5_C_6283_Aves_all_observations
iNaturalist,0,NY_Elmira_C5_C_6283_Aves_all_observations
ebird,683,NY_Elmira_C6_C_6284_Aves_all_observations
iNaturalist,6,NY_Elmira_C6_C_6284_Aves_all_observations
other,0,NY_Elmira_C6_C_6284_Aves_all_observations
ebird,56,NY_Elmira_C7_C_6285_Aves_all_observations
other,0,NY_Elmira_C7_C_6285_Aves_all_observations
iNaturalist,0,NY_Elmira_C7_C_6285_Aves_all_observations
ebird,4,NY_Elmira_C8_C_6286_Aves_all_observations
other,0,NY_Elmira_C8_C_6286_Aves_all_observations
iNaturalist,0,NY_Elmira_C8_C_6286_Aves_all_observations
ebird,877,NY_Elmira_C9_C_6287_Aves_all_observations
other,0,NY_Elmira_C9_C_6287_Aves_all_observations
iNaturalist,0,NY_Elmira_C9_C_6287_Aves_all_observations
ebird,330,NY_Elmira_D1_D_6288_Aves_all_observations
other,0,NY_Elmira_D1_D_6288_Aves_all_observations
