city,holc_grade,sum_area_holc_km2
Birmingham,B,14.471553144365231
Birmingham,C,33.58722088902828
Birmingham,D,100.78944402348776
Boston,A,2.150464580939108
Boston,B,6.728236662787542
Boston,C,50.73436879160387
Boston,D,19.738803715011834
Braintree,A,0.6133754753602324
Braintree,B,1.9038551685900997
Braintree,C,0.8714255942475515
Brockton,A,1.3584997701128838
Brockton,B,4.908221505720887
Brockton,C,22.98177505175231
Brockton,D,2.614971231413291
Bronx,A,2.4861590187441593
Bronx,B,8.353912833306078
Bronx,C,42.52905429612867
Bronx,D,16.305754534117252
Bronx,E,0.6549945843027855
Brookline,A,5.520001800362056
Brookline,B,4.350872266864609
Brookline,C,4.708517832590824
Brookline,D,0.17607033335516142
Brooklyn,A,0.8466649428885145
Brooklyn,B,29.278306978632045
Brooklyn,C,41.41195830805738
Brooklyn,D,50.622313020208026
Buffalo,A,8.637465108192112
Buffalo,B,33.38783685935116
Buffalo,C,42.40987652767165
Buffalo,D,4.834410281071559
Cambridge,A,0.13958944977525503
Cambridge,B,1.6375114848498316
Cambridge,C,4.291353062764317
Cambridge,D,5.2377723877148945
Camden,A,4.071329792257247
Camden,B,23.292914162605584
Camden,C,19.232416070782342
Camden,D,5.009574540909795
Canton,A,1.8686562815644705
Canton,B,10.738163457788904
Canton,C,11.041695574358812
Canton,D,4.932076950548552
Charleston,A,2.61194927148166
Charleston,B,4.191526990017477
Charleston,C,8.527004261011465
Charleston,D,4.5905351203565905
Charlotte,A,5.8485188707055045
Charlotte,B,5.3112092624088065
Charlotte,C,9.788301940739661
Charlotte,D,11.44463503838532
Chattanooga,A,7.751498604099232
Chattanooga,B,19.179728629600998
Chattanooga,C,22.212078845774858
Chattanooga,D,13.993831999145579
Chelsea,C,1.8024153441339688
Chelsea,D,1.463941983742925
Chester,A,1.4418146988733889
Chester,B,1.5351965368940228
Chester,C,1.1673753262776132
Chester,D,0.10883050276419234
Chicago,A,22.259806901351652
Chicago,B,92.62096218736822
Chicago,C,274.68399968673606
Chicago,D,156.1801392247586
Cleveland,A,34.48692707098714
Cleveland,B,68.57015398920723
Cleveland,C,142.9128090489318
Cleveland,D,55.38353350122154
Columbia,A,1.509960727290648
Columbia,B,3.2434832482893476
Columbia,C,4.913289633529041
Columbia,D,6.674920629033645
Columbus,A,14.619909919105861
Columbus,B,29.783613434495926
Columbus,C,41.87611211821349
Columbus,D,25.876004669135117
Council Bluffs,A,0.7454644110549548
Council Bluffs,B,12.403775678341635
Council Bluffs,C,2.2276173073448464
Council Bluffs,D,11.178562878023623
Covington,A,7.474551620079635
Covington,B,11.35831775487151
Covington,C,12.4856087856383
Covington,D,2.904370891179281
Dallas,A,23.888874472352967
Dallas,B,24.163056246836977
Dallas,C,61.65859535725669
Dallas,D,19.763928708404507
Davenport,A,1.1196047622981369
Davenport,B,16.194793839582807
Davenport,C,16.978156074402886
Davenport,D,5.3382344939584145
Dayton,A,15.913374251960002
Dayton,B,16.333749083679642
Dayton,C,23.858287285521733
Dayton,D,19.355957396747467
Decatur,A,1.545032752871762
Decatur,B,3.952912794714448
Decatur,C,9.3935908542001485
Decatur,D,6.236403918668128
Dedham,B,2.2446616719780863
Dedham,C,5.017357297466481
Dedham,D,1.9675259277148025
Denver,A,5.738254136042502
Denver,B,13.354715700822744
Denver,C,41.22851579912002
Denver,D,27.162992684142104
Des Moines,A,17.98468423863665
Des Moines,B,13.762258782725588
Des Moines,C,54.08319842796625
Des Moines,D,44.50372436227784
Detroit,A,33.511893501916724
Detroit,B,75.23385662977199
Detroit,C,272.5154897807434
Detroit,D,151.64467276507662
Dubuque,A,2.60706725220005
Dubuque,B,11.388177647032904
Dubuque,C,5.674943841093414
Dubuque,D,4.81515673663243
Duluth,A,4.562561664440589
